akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;32;0.9;0.999;1.00E-08;0.015179014;0.325359612;610;4.13
relu;(100, 50, 25);0;0.001;l2;0.0001;64;0.99;0.9;1.00E-06;0.015179186;0.325351966;549;2.79
relu;(100, 50, 25);0;0.01;l2;0.0001;32;0.8;0.99;1.00E-08;0.015179746;0.325327083;610;3.07
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;32;0.99;0.999;1.00E-08;0.015182422;0.32520817;610;3.72
relu;(100, 50, 25);0.1;0.01;none;1.00E-05;32;0.8;0.9;1.00E-07;0.015184361;0.325121974;610;4.13
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;64;0.8;0.999;1.00E-06;0.015186143;0.325042791;549;4.24
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.99;0.99;1.00E-07;0.015186577;0.325023461;549;2.91
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.8;0.999;1.00E-07;0.015187996;0.324960423;549;3.05
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;0.9;0.99;1.00E-06;0.015190885;0.324831992;732;3.72
relu;(50, 50, 50);0;0.001;l1;0.0001;32;0.8;0.99;1.00E-08;0.015191736;0.324794179;610;3.37
relu;(50, 50, 50);0;0.03;l1;1.00E-05;32;0.8;0.999;1.00E-07;0.015193222;0.324728136;610;1.94
relu;(50, 50, 50);0;0.03;none;0.01;16;0.9;0.99;1.00E-07;0.0151936;0.324711331;732;2.29
relu;(100, 50, 25);0;0.001;l2;0.0001;64;0.99;0.9;1.00E-07;0.015194558;0.324668781;549;2.86
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.8;0.999;1.00E-07;0.015194806;0.324657736;610;4.24
relu;(50, 50, 50);0;0.01;l1;1.00E-05;16;0.99;0.999;1.00E-06;0.015196972;0.324561472;732;4.52
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;0.8;0.99;1.00E-06;0.015197446;0.324540411;732;3.67
relu;(50, 50, 50);0;0.01;l1;1.00E-05;16;0.9;0.999;1.00E-07;0.015198825;0.324479103;732;3.89
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;0.8;0.9;1.00E-06;0.015199926;0.324430168;732;9.92
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.9;0.9;1.00E-08;0.015200255;0.324415568;549;3.32
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;16;0.9;0.99;1.00E-07;0.015200451;0.324406855;732;13.05
relu;(50, 50, 50);0;0.01;l1;1.00E-05;32;0.99;0.99;1.00E-08;0.015200716;0.324395057;610;3.14
relu;(100, 50, 25);0;0.001;l1;1.00E-05;64;0.99;0.99;1.00E-06;0.015201953;0.324340072;549;3.04
relu;(100, 50, 25);0;0.001;l1;1.00E-05;16;0.9;0.9;1.00E-07;0.015202203;0.324328988;732;3.82
relu;(50, 50, 50);0;0.03;l1;1.00E-05;16;0.8;0.999;1.00E-08;0.015202551;0.324313489;732;2.32
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.9;0.99;1.00E-08;0.015203005;0.324293325;549;3.01
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.8;0.999;1.00E-08;0.015203269;0.324281601;610;4.49
relu;(100, 50, 25);0;0.03;l2;1.00E-05;64;0.9;0.99;1.00E-07;0.015203697;0.324262573;549;2.82
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;64;0.8;0.9;1.00E-07;0.01520585;0.324166868;549;3.89
relu;(100, 50, 25);0;0.001;l1;1.00E-05;16;0.9;0.99;1.00E-07;0.015206194;0.324151615;732;3.75
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.8;0.9;1.00E-08;0.015206239;0.324149594;549;2.95
relu;(100, 100, 100, 50);0;0.001;l2;0.0001;64;0.99;0.9;1.00E-08;0.015206531;0.324136617;549;4.16
relu;(50, 50, 50);0;0.001;l1;1.00E-05;32;0.99;0.99;1.00E-08;0.015207832;0.324078797;610;3.47
relu;(100, 50, 25);0;0.001;l1;0.0001;64;0.8;0.999;1.00E-07;0.015209443;0.32400718;549;3.27
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;16;0.8;0.99;1.00E-08;0.015211078;0.323934505;732;5.13
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.8;0.999;1.00E-06;0.015211636;0.323909702;549;4.22
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.99;0.999;1.00E-07;0.015212206;0.323884373;549;3.42
relu;(100, 100, 100, 50);0;0.001;l1;1.00E-05;16;0.9;0.9;1.00E-08;0.015215272;0.323748104;732;4.86
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;16;0.9;0.999;1.00E-07;0.015218473;0.323605864;732;4.62
relu;(50, 50, 50);0;0.01;l1;1.00E-05;32;0.9;0.9;1.00E-06;0.015219077;0.323579004;610;3.1
relu;(100, 50, 25);0;0.001;l2;0.0001;32;0.8;0.9;1.00E-06;0.015219478;0.323561194;610;2.88
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;64;0.8;0.9;1.00E-07;0.01521969;0.323551742;549;9.03
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.8;0.9;1.00E-08;0.015219838;0.323545165;610;4.15
relu;(50, 50, 50);0;0.01;l1;1.00E-05;16;0.8;0.999;1.00E-06;0.015221138;0.323487379;732;4.04
relu;(50, 50, 50);0;0.01;l2;1.00E-05;32;0.9;0.9;1.00E-06;0.015221701;0.323462363;610;2.47
relu;(50, 50, 50);0;0.01;l1;1.00E-05;16;0.8;0.99;1.00E-07;0.015221722;0.323461424;732;3.27
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;32;0.99;0.999;1.00E-06;0.015221883;0.323454294;610;3.86
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.99;0.99;1.00E-06;0.015222284;0.323436476;549;2.77
relu;(100, 50, 25);0;0.01;l2;0.0001;64;0.9;0.9;1.00E-06;0.015222432;0.323429888;549;2.78
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.99;0.99;1.00E-08;0.015222769;0.323414917;610;3.2
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.8;0.99;1.00E-06;0.0152231;0.323400218;549;3
relu;(100, 50, 25);0;0.01;l2;1.00E-05;32;0.9;0.99;1.00E-08;0.015228921;0.323141475;610;3.2
relu;(100, 100, 100, 50);0.1;0.01;l2;1.00E-05;16;0.9;0.9;1.00E-08;0.015234837;0.322878559;732;7.41
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.8;0.999;1.00E-07;0.015236014;0.322826233;549;3.03
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;32;0.8;0.9;1.00E-08;0.015236381;0.32280993;610;9.21
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.8;0.999;1.00E-07;0.015236531;0.322803235;732;3.72
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.9;0.999;1.00E-06;0.015238035;0.322736397;549;3.3
relu;(100, 50, 25);0;0.01;none;0.01;16;0.8;0.9;1.00E-06;0.015241888;0.322565158;732;3.96
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.8;0.99;1.00E-08;0.015243604;0.322488901;610;3.37
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;0.8;0.9;1.00E-08;0.015244118;0.32246604;732;3.64
relu;(50, 50, 50);0;0.03;l2;0.0001;64;0.9;0.9;1.00E-07;0.015244217;0.322461627;549;1.93
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.8;0.999;1.00E-07;0.015244247;0.322460315;610;3.16
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;0.9;0.999;1.00E-06;0.015244356;0.322455475;732;10.01
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;32;0.8;0.9;1.00E-06;0.015244574;0.322445757;610;3.83
relu;(100, 100, 100, 50);0.1;0.01;l2;1.00E-05;64;0.8;0.99;1.00E-07;0.015246037;0.322380762;549;6.44
relu;(50, 50, 50);0;0.01;l2;0.0001;16;0.9;0.999;1.00E-08;0.01524624;0.322371706;732;4.5
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.8;0.999;1.00E-06;0.015246391;0.322365007;549;3.02
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.9;0.99;1.00E-08;0.015246708;0.32235093;610;4.13
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.8;0.99;1.00E-07;0.01524726;0.322326398;549;4.36
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.8;0.99;1.00E-06;0.015247522;0.322314729;610;4.18
relu;(100, 50, 25);0;0.03;l2;1.00E-05;64;0.99;0.999;1.00E-06;0.015248443;0.322273822;549;2.91
relu;(100, 100, 100, 50);0;0.01;none;1.00E-05;32;0.9;0.999;1.00E-06;0.015249471;0.322228133;610;4.03
relu;(100, 50, 25);0;0.03;l1;1.00E-05;32;0.9;0.999;1.00E-07;0.015249642;0.322220519;610;3.1
relu;(50, 50, 50);0;0.01;l1;1.00E-05;32;0.8;0.99;1.00E-06;0.015250028;0.322203356;610;3.27
relu;(50, 50, 50);0;0.01;none;0.0001;32;0.9;0.9;1.00E-06;0.015250678;0.322174491;610;3.19
relu;(100, 50, 25);0;0.001;l2;0.0001;16;0.9;0.9;1.00E-07;0.015250902;0.322164497;732;3.47
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.99;0.999;1.00E-07;0.015253724;0.322039073;610;3.37
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;0.8;0.9;1.00E-07;0.015254203;0.322017797;549;3.16
relu;(50, 50, 50);0;0.01;l2;0.0001;32;0.8;0.9;1.00E-07;0.015254913;0.321986233;610;3.37
relu;(50, 50, 50);0;0.01;none;0.0001;16;0.9;0.9;1.00E-08;0.015254977;0.321983393;732;4
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;16;0.8;0.999;1.00E-08;0.015254986;0.321983004;732;4.79
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.99;0.999;1.00E-08;0.015255016;0.32198167;549;4.1
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;0.9;0.999;1.00E-08;0.015255147;0.32197587;549;2.94
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.8;0.9;1.00E-08;0.015257081;0.321889876;549;3.38
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;0.8;0.999;1.00E-06;0.015257167;0.321886065;732;3.87
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-07;0.015259496;0.321782569;549;3.39
relu;(100, 50, 25);0;0.01;l2;1.00E-05;32;0.99;0.99;1.00E-07;0.015259613;0.32177736;610;3.38
relu;(50, 50, 50);0.1;0.001;l1;1.00E-05;64;0.8;0.9;1.00E-06;0.015260479;0.321738858;549;2.91
relu;(50, 50, 50);0;0.03;l2;1.00E-05;32;0.8;0.999;1.00E-08;0.015262415;0.321652834;610;1.91
relu;(50, 50, 50);0;0.01;l2;0.0001;16;0.9;0.99;1.00E-08;0.015262478;0.321650036;732;4.23
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.8;0.9;1.00E-07;0.015264086;0.321578539;610;3.29
relu;(100, 50, 25);0;0.001;l2;0.0001;32;0.9;0.9;1.00E-08;0.015264259;0.321570877;610;3.11
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;0.9;0.9;1.00E-07;0.015264359;0.321566411;732;4.19
