akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.03;l2;0.001;32;0.0001;0.8;0.019641069;0.172552659;506;1.26
relu;(50, 25);0.2;0.03;l2;0.001;64;1.00E-05;0.8;0.019644667;0.172401047;504;0.35
relu;(100, 50, 25);0;0.003;l2;0.01;16;0.0001;0.99;0.019647958;0.172262431;506;1.11
relu;(100, 100, 100, 50);0;0.003;l1;0.001;32;0.0001;0.8;0.019663586;0.171604033;506;2.25
relu;(50, 25);0.2;0.03;l2;1.00E-05;32;1.00E-06;0.9;0.019663874;0.171591896;506;0.38
relu;(100, 50, 25);0.2;0.003;l2;0.001;64;1.00E-06;0.9;0.019674071;0.171162331;504;2.07
relu;(100, 50, 25);0.2;0.03;l1;1.00E-05;64;1.00E-06;0.8;0.019676914;0.171042563;504;1.85
relu;(50, 25);0;0.03;l1;1.00E-05;64;1.00E-05;0.99;0.019680345;0.170898018;504;0.34
relu;(50, 25);0.2;0.003;l2;0.001;64;1.00E-05;0.99;0.019684504;0.170722784;504;0.4
relu;(50, 25);0;0.003;l2;1.00E-05;64;1.00E-05;0.99;0.019684889;0.170706574;504;0.31
relu;(100, 50, 25);0.2;0.03;l2;1.00E-05;32;1.00E-06;0.8;0.019714305;0.169467327;506;1.9
relu;(50, 25);0.2;0.03;l2;0.001;64;0.0001;0.9;0.019723481;0.169080754;504;0.38
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;1.00E-05;0.9;0.019725446;0.168997971;506;0.51
relu;(50, 25);0;0.003;l2;0.001;32;1.00E-06;0.8;0.019725745;0.168985398;506;0.28
relu;(50, 25);0.2;0.03;l2;1.00E-05;64;1.00E-05;0.8;0.019726034;0.168973182;504;0.42
relu;(50, 25);0.2;0.003;l2;1.00E-05;64;1.00E-06;0.8;0.019751499;0.167900386;504;0.44
relu;(100, 50, 25);0;0.001;l2;1.00E-05;32;0.0001;0.9;0.019761616;0.167474176;506;0.31
relu;(50, 25);0.2;0.001;l2;0.001;64;1.00E-06;0.8;0.019766072;0.167286482;504;0.39
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;64;0.0001;0.99;0.019773825;0.166959854;504;2.55
relu;(100, 50, 25);0;0.003;l2;0.01;32;0.0001;0.8;0.019782523;0.16659339;506;1.45
relu;(50, 25);0.2;0.03;l2;0.001;16;1.00E-05;0.8;0.019787661;0.166376968;506;0.38
relu;(50, 25);0.2;0.003;l2;0.01;32;1.00E-06;0.9;0.019795685;0.166038921;506;0.28
relu;(50, 25);0;0.003;l2;0.01;64;0.0001;0.9;0.0197974;0.165966659;504;0.25
relu;(100, 100, 100, 50);0;0.03;l2;0.001;16;1.00E-05;0.9;0.019825293;0.164791596;506;0.52
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-06;0.9;0.019825558;0.164780413;504;1.36
relu;(100, 50, 25);0;0.003;l2;0.001;16;1.00E-06;0.99;0.019826309;0.164748754;506;0.33
relu;(50, 25);0;0.03;l2;0.001;16;0.0001;0.9;0.0198363;0.164327878;506;0.25
relu;(50, 25);0.2;0.03;l2;0.001;64;1.00E-05;0.9;0.019848091;0.16383112;504;0.37
relu;(50, 25);0.2;0.03;l2;1.00E-05;32;1.00E-06;0.8;0.019862556;0.163221746;506;0.36
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.8;0.019863823;0.163168354;506;1.14
relu;(50, 25);0.2;0.03;l2;0.001;32;1.00E-05;0.8;0.019865338;0.16310454;506;0.37
relu;(50, 25);0.2;0.003;l2;0.001;16;1.00E-05;0.8;0.019872542;0.162801067;506;0.29
relu;(50, 25);0.2;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.019876673;0.162627015;504;0.46
relu;(50, 25);0;0.03;l2;0.001;16;1.00E-05;0.8;0.019885441;0.162257646;506;0.25
relu;(50, 25);0;0.001;l1;0.001;64;1.00E-06;0.9;0.019890186;0.162057736;504;0.32
relu;(50, 25);0;0.003;l2;0.001;64;1.00E-06;0.8;0.019893695;0.161909902;504;0.33
relu;(100, 100, 100, 50);0;0.001;l2;0.01;32;0.0001;0.8;0.019901182;0.161594501;506;2.03
relu;(50, 25);0;0.03;l2;0.001;64;1.00E-05;0.9;0.01991258;0.161114301;504;0.31
relu;(100, 50, 25);0;0.001;l1;0.001;16;1.00E-06;0.99;0.019914753;0.16102277;506;1.11
relu;(50, 25);0;0.003;l2;1.00E-05;64;0.0001;0.99;0.01992279;0.160684178;504;0.3
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.99;0.019923856;0.160639266;506;1.37
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;64;1.00E-06;0.99;0.019935567;0.160145891;504;2.72
relu;(50, 25);0;0.003;l2;0.001;16;1.00E-06;0.8;0.019943704;0.159803124;506;0.25
relu;(100, 50, 25);0;0.003;l2;0.001;64;1.00E-06;0.8;0.019946721;0.159676001;504;1.34
relu;(100, 50, 25);0;0.03;l2;1.00E-05;32;1.00E-05;0.8;0.01994914;0.159574115;506;1.14
relu;(50, 25);0;0.03;l1;1.00E-05;64;1.00E-05;0.9;0.019952167;0.159446561;504;0.35
relu;(50, 25);0.2;0.03;l2;0.001;32;1.00E-06;0.9;0.019952386;0.15943735;506;0.39
relu;(100, 50, 25);0.2;0.003;l2;0.001;16;1.00E-06;0.8;0.019956287;0.159273026;506;1.5
relu;(100, 50, 25);0;0.003;l2;0.01;16;1.00E-06;0.99;0.019964897;0.1589103;506;1.1
