akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.003;l2;0.001;16;1.00E-06;0.99;0.01483362;0.291600965;732;4.12
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;1.00E-06;0.8;0.014833636;0.291600201;732;3.52
relu;(100, 100, 100, 50);0;0.001;l2;0.001;16;1.00E-06;0.8;0.014838854;0.291351034;732;3.84
relu;(100, 100, 100, 50);0.1;0.01;l1;1.00E-05;16;1.00E-06;0.8;0.014840783;0.291258919;732;6.68
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.8;0.014844696;0.291072006;732;3.42
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;1.00E-06;0.9;0.014845578;0.291029883;732;5.52
relu;(50, 25);0;0.01;l2;1.00E-05;32;1.00E-05;0.8;0.014848839;0.290874193;610;1.47
relu;(100, 50, 25);0;0.003;l2;1.00E-05;64;1.00E-06;0.99;0.014849607;0.290837518;549;4.55
relu;(50, 25);0;0.03;l2;1.00E-05;16;1.00E-05;0.8;0.014850342;0.290802398;732;1.63
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;1.00E-06;0.8;0.014861428;0.290272979;732;4.1
relu;(50, 25);0;0.03;l2;1.00E-05;32;1.00E-05;0.9;0.01486155;0.290267135;610;1.4
relu;(100, 50, 25);0;0.01;l2;0.001;64;0.0001;0.8;0.014863533;0.29017242;549;2.59
relu;(50, 25);0;0.03;l2;1.00E-05;32;1.00E-06;0.9;0.014864562;0.290123288;610;1.46
relu;(50, 25);0;0.01;l1;1.00E-05;32;1.00E-06;0.99;0.014865186;0.290093486;610;1.52
relu;(100, 50, 25);0;0.001;l2;0.001;16;1.00E-06;0.8;0.014866137;0.290048101;732;8.18
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;1.00E-05;0.99;0.014866963;0.290008621;732;5.31
relu;(50, 25);0;0.01;l2;0.001;64;1.00E-06;0.9;0.014870782;0.289826257;549;1.5
relu;(50, 25);0;0.03;l1;1.00E-05;16;1.00E-06;0.8;0.014872382;0.289749854;732;1.78
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;1.00E-06;0.8;0.01487426;0.289660179;610;4.63
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;32;1.00E-06;0.9;0.014880043;0.289383964;610;3.82
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;1.00E-06;0.8;0.014883928;0.289198428;610;3.74
relu;(50, 25);0;0.01;l2;1.00E-05;64;1.00E-06;0.8;0.014886012;0.289098941;549;1.55
relu;(100, 50, 25);0;0.003;l2;0.001;16;1.00E-06;0.9;0.014886693;0.28906641;732;5.28
relu;(50, 25);0.1;0.03;l2;1.00E-05;64;1.00E-06;0.9;0.014889192;0.288947054;549;1.89
relu;(50, 25);0;0.003;l2;0.001;32;1.00E-06;0.99;0.014890246;0.288896747;610;1.47
relu;(100, 50, 25);0;0.03;l2;1.00E-05;64;1.00E-05;0.8;0.014891106;0.288855673;549;2.59
relu;(50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.9;0.014891684;0.288828031;732;1.82
relu;(100, 50, 25);0;0.03;l1;1.00E-05;32;1.00E-06;0.9;0.014891972;0.288814304;610;2.95
relu;(50, 25);0.1;0.003;l1;1.00E-05;32;1.00E-06;0.9;0.014893721;0.288730779;610;1.93
relu;(50, 25);0;0.01;l2;0.001;64;1.00E-05;0.8;0.014894747;0.288681763;549;1.44
relu;(50, 25);0;0.03;l2;1.00E-05;32;1.00E-06;0.8;0.014894953;0.288671954;610;1.58
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-06;0.9;0.014895166;0.288661774;549;3.61
relu;(100, 100, 100, 50);0;0.003;l2;0.001;32;1.00E-06;0.9;0.014896038;0.288620102;610;3.51
relu;(50, 25);0;0.03;l1;1.00E-05;32;1.00E-05;0.8;0.014896562;0.288595117;610;1.52
relu;(100, 100, 100, 50);0;0.003;l2;0.001;16;1.00E-06;0.8;0.014896919;0.288578043;732;4.35
relu;(50, 25);0;0.01;l2;0.001;32;1.00E-05;0.99;0.014898645;0.28849564;610;1.49
relu;(50, 25);0;0.03;l2;1.00E-05;64;1.00E-05;0.9;0.014900002;0.288430816;549;1.53
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;1.00E-06;0.9;0.014901416;0.28836327;549;2.7
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;1.00E-06;0.99;0.01490476;0.2882036;610;4.38
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;1.00E-06;0.8;0.01490589;0.28814961;732;3.9
relu;(50, 25);0;0.01;l2;1.00E-05;64;1.00E-06;0.99;0.014906212;0.288134245;549;1.53
relu;(50, 25);0;0.01;l2;0.001;32;1.00E-05;0.8;0.014906661;0.288112788;610;1.63
relu;(50, 25);0;0.003;l2;1.00E-05;16;1.00E-05;0.99;0.014908316;0.288033747;732;1.69
relu;(50, 25);0;0.01;l2;0.001;16;1.00E-06;0.99;0.014909258;0.2879888;732;1.78
relu;(50, 25);0;0.003;l2;0.001;32;1.00E-06;0.9;0.014909533;0.287975659;610;1.42
relu;(50, 25);0;0.01;l2;0.001;16;1.00E-05;0.8;0.014909765;0.287964566;732;1.59
relu;(100, 100, 100, 50);0;0.003;l2;0.001;32;1.00E-06;0.8;0.014909931;0.287956645;610;3.75
relu;(100, 50, 25);0;0.003;l2;0.001;32;1.00E-06;0.9;0.014910125;0.287947376;610;4.59
relu;(100, 50, 25);0;0.01;l2;0.001;16;1.00E-05;0.8;0.014910915;0.287909652;732;4.83
relu;(50, 25);0;0.01;l1;1.00E-05;16;1.00E-05;0.8;0.014912156;0.287850393;732;1.79
relu;(50, 25);0;0.01;l2;0.001;32;1.00E-05;0.9;0.014914343;0.28774596;610;1.34
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-05;0.8;0.014915149;0.287707463;549;3.8
relu;(100, 50, 25);0;0.003;l2;0.001;16;1.00E-06;0.8;0.014915205;0.287704779;732;5.25
relu;(100, 50, 25);0;0.001;l2;0.001;32;1.00E-06;0.99;0.01491707;0.28761573;610;7.11
relu;(50, 25);0;0.03;l2;1.00E-05;32;0.0001;0.8;0.014917617;0.287589593;610;1.49
relu;(50, 25);0;0.01;l1;1.00E-05;32;1.00E-06;0.9;0.014919897;0.287480705;610;1.68
relu;(100, 50, 25);0;0.003;l2;0.001;32;1.00E-06;0.99;0.014920279;0.287462462;610;4.35
relu;(50, 25);0;0.01;l1;1.00E-05;32;1.00E-05;0.8;0.014920745;0.28744019;610;1.52
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;64;1.00E-06;0.9;0.014920797;0.287437734;549;3.49
relu;(100, 50, 25);0;0.01;l2;0.001;16;1.00E-05;0.99;0.014925208;0.287227053;732;4.29
relu;(50, 25);0;0.01;l2;0.001;64;0.0001;0.9;0.014927219;0.287131012;549;1.71
relu;(50, 25);0;0.03;l1;1.00E-05;64;1.00E-06;0.9;0.014929269;0.28703312;549;1.52
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;64;1.00E-05;0.8;0.01493574;0.286724095;549;3.53
relu;(100, 50, 25);0.1;0.01;l1;1.00E-05;32;1.00E-06;0.9;0.014938532;0.286590773;610;4.01
relu;(50, 25);0.1;0.03;l2;1.00E-05;64;1.00E-05;0.9;0.014939963;0.286522444;549;1.87
relu;(100, 100, 100, 50);0;0.001;l2;0.001;32;1.00E-06;0.99;0.014941147;0.286465891;610;3.64
relu;(100, 50, 25);0;0.01;l2;0.001;32;1.00E-05;0.8;0.014944118;0.286324015;610;2.68
relu;(50, 25);0.1;0.003;l2;1.00E-05;16;1.00E-06;0.8;0.01494791;0.286142909;732;2.2
relu;(100, 50, 25);0;0.003;l2;0.001;64;1.00E-06;0.8;0.014948409;0.286119055;549;4.56
relu;(100, 100, 100, 50);0;0.001;l2;0.001;32;1.00E-06;0.9;0.014949556;0.286064322;610;3.59
relu;(50, 25);0;0.003;l2;0.001;16;1.00E-06;0.8;0.014951245;0.285983652;732;1.58
relu;(50, 25);0;0.03;l1;1.00E-05;32;0.0001;0.99;0.014952189;0.28593858;610;1.59
relu;(50, 25);0;0.03;l1;1.00E-05;16;0.0001;0.8;0.014953124;0.285893918;732;1.92
relu;(100, 50, 25);0;0.01;l2;0.001;64;1.00E-05;0.8;0.014955254;0.285792179;549;2.57
