akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 50, 25);0;0.03;l1;0.0001;64;0.8;0.99;1.00E-06;0.01977931;0.210127801;504;0.43
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.8;0.9;1.00E-08;0.019784647;0.209914685;506;0.36
relu;(100, 50, 25);0;0.001;l1;1.00E-05;64;0.99;0.9;1.00E-08;0.019786596;0.209836873;504;0.83
relu;(100, 100, 100, 50);0.1;0.01;none;0.01;32;0.9;0.9;1.00E-08;0.019786694;0.209832929;506;1.69
relu;(100, 50, 25);0.1;0.01;l2;0.0001;32;0.8;0.99;1.00E-06;0.019788078;0.209777673;506;0.79
relu;(100, 50, 25);0;0.01;none;1.00E-05;32;0.8;0.9;1.00E-06;0.019793683;0.209553825;506;0.67
relu;(100, 50, 25);0;0.03;l1;0.0001;32;0.9;0.9;1.00E-08;0.019796335;0.209447943;506;0.35
relu;(100, 100, 100, 50);0.1;0.03;l1;1.00E-05;32;0.8;0.9;1.00E-06;0.019796726;0.209432313;506;1.91
relu;(100, 50, 25);0.1;0.01;none;1.00E-05;64;0.8;0.9;1.00E-08;0.019798433;0.209364171;504;1.21
relu;(50, 50, 50);0;0.03;l2;1.00E-05;32;0.9;0.9;1.00E-08;0.01981036;0.208887848;506;0.62
relu;(50, 50, 50);0.1;0.03;l1;0.0001;32;0.9;0.99;1.00E-06;0.019814531;0.208721308;506;0.66
relu;(100, 50, 25);0.1;0.01;none;0.0001;64;0.9;0.99;1.00E-06;0.019815528;0.208681465;504;0.92
relu;(100, 50, 25);0.1;0.01;none;0.01;32;0.9;0.9;1.00E-08;0.019824264;0.208332597;506;0.71
relu;(50, 50, 50);0.1;0.01;none;0.0001;64;0.8;0.9;1.00E-06;0.0198313;0.208051632;504;1.44
relu;(100, 100, 100, 50);0;0.01;l1;0.0001;64;0.9;0.9;1.00E-06;0.019832931;0.207986518;504;1.68
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;64;0.8;0.99;1.00E-06;0.019845179;0.207497373;504;1.5
relu;(100, 50, 25);0.1;0.01;none;1.00E-05;64;0.9;0.999;1.00E-08;0.01985009;0.207301285;504;1.18
relu;(50, 50, 50);0;0.01;l1;0.0001;32;0.8;0.9;1.00E-08;0.019867798;0.206594118;506;0.41
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;0.9;0.9;1.00E-08;0.019870224;0.20649722;504;1.44
relu;(100, 50, 25);0;0.01;l1;0.0001;16;0.99;0.999;1.00E-06;0.019872579;0.206403176;506;0.32
relu;(100, 50, 25);0;0.03;l2;1.00E-05;16;0.9;0.99;1.00E-08;0.019875965;0.206267991;506;0.31
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.9;0.999;1.00E-06;0.019887922;0.205790479;506;0.54
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;16;0.99;0.99;1.00E-06;0.01989472;0.205519022;506;1.06
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;64;0.9;0.99;1.00E-08;0.019902361;0.205213871;504;1.56
relu;(100, 50, 25);0.1;0.01;l1;0.0001;16;0.9;0.9;1.00E-06;0.019904157;0.205142139;506;0.89
relu;(100, 50, 25);0.1;0.01;none;0.0001;16;0.9;0.99;1.00E-06;0.01991011;0.204904416;506;0.98
relu;(50, 50, 50);0;0.03;l1;0.0001;32;0.9;0.99;1.00E-08;0.019925188;0.204302309;506;0.5
relu;(100, 100, 100, 50);0.1;0.03;none;0.01;64;0.8;0.99;1.00E-06;0.019933972;0.203951489;504;1.71
relu;(100, 100, 100, 50);0.1;0.01;none;0.01;32;0.8;0.9;1.00E-06;0.019941303;0.203658752;506;1.72
relu;(100, 50, 25);0;0.01;l1;0.0001;16;0.8;0.9;1.00E-06;0.019950125;0.203306448;506;0.7
relu;(100, 100, 100, 50);0;0.03;l2;0.0001;64;0.9;0.9;1.00E-06;0.019955768;0.20308111;504;1.35
relu;(50, 50, 50);0;0.03;l2;0.0001;32;0.9;0.99;1.00E-08;0.019955881;0.203076594;506;0.98
relu;(100, 100, 100, 50);0.1;0.001;none;1.00E-05;64;0.8;0.999;1.00E-06;0.019958982;0.202952742;504;1.8
relu;(100, 50, 25);0;0.001;none;0.0001;64;0.99;0.99;1.00E-08;0.019966275;0.20266152;504;1.65
relu;(100, 50, 25);0.1;0.01;none;1.00E-05;16;0.9;0.9;1.00E-06;0.019974749;0.202323095;506;0.9
relu;(50, 50, 50);0;0.01;none;0.0001;64;0.99;0.999;1.00E-08;0.019991785;0.201642789;504;0.38
relu;(100, 100, 100, 50);0;0.001;l1;0.0001;16;0.99;0.99;1.00E-06;0.020001548;0.201252902;506;1.07
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.99;0.9;1.00E-06;0.020002538;0.20121339;504;0.43
relu;(100, 100, 100, 50);0;0.03;l2;0.0001;64;0.99;0.999;1.00E-08;0.020007008;0.201034874;504;1.32
